service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
101P,1,1,1,1,1,0,0,20221114,20241231
101PF,0,0,0,0,1,0,0,20240429,20241231
101PMT,1,1,1,1,0,0,0,20240429,20241231
101C,1,1,1,1,1,0,0,20221114,20241231
101B,1,1,1,1,1,0,0,20221114,20241231
102,0,0,0,0,0,1,0,20221114,20241231
103,0,0,0,0,0,0,1,20221114,20241231
104,0,0,0,0,1,0,0,20221114,20241231
101PennR,0,0,0,0,0,0,0,20221114,20241231
101CamdenR,0,0,0,0,0,0,0,20221114,20241231
101BrunswickR,0,0,0,0,0,0,0,20221114,20241231
101PennRP,0,0,0,0,0,0,0,20221114,20241231
101CamdenRP,0,0,0,0,0,0,0,20221114,20241231
101BrunswickRP,0,0,0,0,0,0,0,20221114,20241231
103Normal,0,0,0,0,0,0,1,20221114,20241231
103Amtrak,0,0,0,0,0,0,0,20221114,20241231
