service_id,date,exception_type
101P,20240219,2
101C,20240219,2
101B,20240219,2
101PennR,20240219,1
101PennRP,20240219,1
101CamdenR,20240219,1
101BrunswickR,20240219,1
101PMT,20240527,2
101P,20240527,2
101C,20240527,2
101B,20240527,2
101P,20240619,2
101PF,20240619,2
101PMT,20240619,2
101C,20240619,2
101B,20240619,2
101PennR,20240619,1
101PennRP,20240619,1
101CamdenR,20240619,1
101BrunswickR,20240619,1
101PMT,20240704,2
101P,20240704,2
101C,20240704,2
101B,20240704,2
102,20240704,1
101PMT,20240705,2
101P,20240705,2
101C,20240705,2
101B,20240705,2
101PennR,20240705,1
101CamdenR,20240705,1
101BrunswickR,20240705,1
101P,20240902,2
101C,20240902,2
101B,20240902,2
101P,20241014,2
101C,20241014,2
101B,20241014,2
101PennR,20241014,1
101PennRP,20241014,1
101CamdenR,20241014,1
101BrunswickR,20241014,1
101P,20241111,2
101C,20241111,2
101B,20241111,2
101PennR,20241111,1
101PennRP,20241111,1
101CamdenR,20241111,1
101BrunswickR,20241111,1
101P,20241128,2
101C,20241128,2
101B,20241128,2
101P,20241129,2
101C,20241129,2
101B,20241129,2
102,20241129,1
101P,20250101,2
101C,20250101,2
101B,20250101,2
