trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
Train870,04:50:00,04:50:00,11943,0,,,,0,1
Train870,05:00:00,05:00:00,11946,1,,,,11.17,1
Train870,05:09:00,05:09:00,11947,2,,,,22.65,1
Train870,05:13:00,05:13:00,11948,3,,,,26.53,1
Train870,05:19:00,05:19:00,11949,4,,,,33.29,1
Train870,05:22:00,05:22:00,11950,5,,,,37.3,1
Train870,05:27:00,05:27:00,11951,6,,,,41.9,1
Train870,05:30:00,05:30:00,11952,7,,,,44.99,1
Train870,05:32:00,05:32:00,11953,8,,,,46.7,1
Train870,05:39:00,05:39:00,11954,9,,,,52.85,1
Train870,05:45:00,05:45:00,11956,10,,,,62.05,1
Train870,05:51:00,05:51:00,11957,11,,,,67.3,1
Train870,06:23:00,06:23:00,11958,12,,,,78.84,1
Train890,05:00:00,05:00:00,11944,0,,,,0,1
Train890,05:06:00,05:06:00,11945,1,,,,3.9,1
Train890,05:32:00,05:32:00,11947,2,,,,33.79,1
Train890,05:41:00,05:41:00,11949,3,,,,44.42,1
Train890,05:45:00,05:45:00,11950,4,,,,48.44,1
Train890,05:50:00,05:50:00,11951,5,,,,53.04,1
Train890,05:53:00,05:53:00,11952,6,,,,56.13,1
Train890,06:00:00,06:00:00,11954,7,,,,63.99,1
Train890,06:06:00,06:06:00,11955,8,,,,70.92,1
Train890,06:09:00,06:09:00,11956,9,,,,73.92,1
Train890,06:14:00,06:14:00,11957,10,,,,78.44,1
Train890,06:40:00,06:40:00,11958,11,,,,89.98,1
Train872,05:00:00,05:00:00,11940,0,,,,0,1
Train872,05:18:00,05:18:00,11941,1,,,,19.43,1
Train872,05:27:00,05:27:00,11942,2,,,,29.47,1
Train872,05:40:00,05:40:00,11943,3,,,,39.21,1
Train872,05:51:00,05:51:00,11946,4,,,,50.37,1
Train872,06:01:00,06:01:00,11948,5,,,,65.72,1
Train872,06:09:00,06:09:00,11950,6,,,,76.5,1
Train872,06:15:00,06:15:00,11951,7,,,,81.1,1
Train872,06:18:00,06:18:00,11952,8,,,,84.19,1
Train872,06:21:00,06:21:00,11953,9,,,,85.9,1
Train872,06:26:00,06:26:00,11954,10,,,,92.04,1
Train872,06:32:00,06:32:00,11956,11,,,,101.24,1
Train872,06:38:00,06:38:00,11957,12,,,,106.5,1
Train872,07:09:00,07:09:00,11958,13,,,,118.04,1
Train874,05:25:00,05:25:00,11940,0,,,,0,1
Train874,05:43:00,05:43:00,11941,1,,,,19.43,1
Train874,05:54:00,05:54:00,11942,2,,,,29.47,1
Train874,06:08:00,06:08:00,11943,3,,,,39.21,1
Train874,06:19:00,06:19:00,11946,4,,,,50.37,1
Train874,06:30:00,06:30:00,11948,5,,,,65.72,1
Train874,06:37:00,06:37:00,11950,6,,,,76.5,1
Train874,06:42:00,06:42:00,11951,7,,,,81.1,1
Train874,06:46:00,06:46:00,11952,8,,,,84.19,1
Train874,06:53:00,06:53:00,11954,9,,,,92.04,1
Train874,06:59:00,06:59:00,11956,10,,,,101.24,1
Train874,07:05:00,07:05:00,11957,11,,,,106.5,1
Train874,07:35:00,07:35:00,11958,12,,,,118.04,1
Train892,06:05:00,06:05:00,11944,0,,,,0,1
Train892,06:12:00,06:12:00,11945,1,,,,3.9,1
Train892,06:41:00,06:41:00,11947,2,,,,33.79,1
Train892,06:50:00,06:50:00,11949,3,,,,44.42,1
Train892,06:55:00,06:55:00,11950,4,,,,48.44,1
Train892,07:01:00,07:01:00,11951,5,,,,53.04,1
Train892,07:05:00,07:05:00,11952,6,,,,56.13,1
Train892,07:13:00,07:13:00,11954,7,,,,63.99,1
Train892,07:18:00,07:18:00,11955,8,,,,70.92,1
Train892,07:21:00,07:21:00,11956,9,,,,73.19,1
Train892,07:27:00,07:27:00,11957,10,,,,78.44,1
Train892,07:56:00,07:56:00,11958,11,,,,89.98,1
Train880,07:45:00,07:45:00,11943,0,,,,0,1
Train880,07:55:00,07:55:00,11946,1,,,,11.17,1
Train880,08:03:00,08:03:00,11947,2,,,,22.65,1
Train880,08:07:00,08:07:00,11948,3,,,,26.53,1
Train880,08:13:00,08:13:00,11949,4,,,,33.29,1
Train880,08:17:00,08:17:00,11950,5,,,,37.3,1
Train880,08:21:00,08:21:00,11951,6,,,,41.9,1
Train880,08:25:00,08:25:00,11952,7,,,,44.99,1
Train880,08:28:00,08:28:00,11953,8,,,,46.7,1
Train880,08:34:00,08:34:00,11954,9,,,,52.85,1
Train880,08:39:00,08:39:00,11955,10,,,,59.78,1
Train880,08:42:00,08:42:00,11956,11,,,,62.05,1
Train880,08:48:00,08:48:00,11957,12,,,,67.3,1
Train880,09:21:00,09:21:00,11958,13,,,,78.84,1
Train876,06:40:00,06:40:00,11943,0,,,,0,1
Train876,06:50:00,06:50:00,11946,1,,,,11.17,1
Train876,07:01:00,07:01:00,11948,2,,,,26.53,1
Train876,07:09:00,07:09:00,11950,3,,,,37.3,1
Train876,07:14:00,07:14:00,11951,4,,,,41.9,1
Train876,07:18:00,07:18:00,11952,5,,,,44.99,1
Train876,07:20:00,07:20:00,11953,6,,,,46.7,1
Train876,07:26:00,07:26:00,11954,7,,,,52.85,1
Train876,07:32:00,07:32:00,11955,8,,,,59.78,1
Train876,07:35:00,07:35:00,11956,9,,,,62.05,1
Train876,07:41:00,07:41:00,11957,10,,,,67.3,1
Train876,08:15:00,08:15:00,11958,11,,,,78.84,1
Train894,07:10:00,07:10:00,11944,0,,,,0,1
Train894,07:17:00,07:17:00,11945,1,,,,3.9,1
Train894,07:52:00,07:52:00,11950,2,,,,48.44,1
Train894,07:57:00,07:57:00,11951,3,,,,53.04,1
Train894,08:01:00,08:01:00,11952,4,,,,56.13,1
