trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Train400,11705,101P,BALTIMORE,Train 400,1,401862,116576,1,1
Train401,11705,101P,WASHINGTON,Train 401,0,401836,116513,1,1
Train403,11705,101P,WASHINGTON,Train 403,0,401858,116513,1,1
Train404,11705,101P,BALTIMORE,Train 404,1,401863,116576,1,1
Train407,11705,101P,WASHINGTON,Train 407,0,401837,116513,1,1
Train408,11705,101P,BALTIMORE,Train 408,1,401865,116576,1,1
Train409,11705,101P,WASHINGTON,Train 409,0,401839,116513,1,1
Train410,11705,101P,BALTIMORE,Train 410,1,401884,116576,1,1
Train412,11705,101P,BALTIMORE,Train 412,1,401886,116576,1,1
Train413,11705,101P,WASHINGTON,Train 413,0,401841,116513,1,1
Train414,11705,101P,BALTIMORE,Train 414,1,401867,116576,1,1
Train415,11705,101P,WASHINGTON,Train 415,0,401843,116513,1,1
Train416,11705,101P,BALTIMORE,Train 416,1,401868,116576,1,1
Train418,11705,101P,BALTIMORE,Train 418,1,401869,116576,1,1
Train419,11705,101P,WASHINGTON,Train 419,0,401844,116513,1,1
Train421,11705,101P,WASHINGTON,Train 421,0,401845,116513,1,1
Train422,11705,101P,BALTIMORE,Train 422,1,401871,116576,1,1
Train423,11705,101P,WASHINGTON,Train 423,0,401835,116513,1,1
Train424,11705,101P,BALTIMORE,Train 424,1,401872,116576,1,1
Train426,11705,101P,BALTIMORE,Train 426,1,401873,116576,1,1
Train427,11705,101P,WASHINGTON,Train 427,0,401846,116513,1,1
Train428,11705,101P,BALTIMORE,Train 428,1,401882,116576,1,1
Train429,11705,101P,WASHINGTON,Train 429,0,401847,116513,1,1
Train430,11705,101P,BALTIMORE,Train 430,1,401874,116576,1,1
Train431,11705,101P,WASHINGTON,Train 431,0,401848,116513,1,1
Train433,11705,101P,WASHINGTON,Train 433,0,401849,116513,1,1
Train435,11705,101P,WASHINGTON,Train 435,0,401850,116513,1,1
Train438,11705,101P,BALTIMORE,Train 438,1,401888,116576,1,1
Train439,11705,101P,WASHINGTON,Train 439,0,401857,116513,1,1
Train440,11705,101P,BALTIMORE,Train 440,1,401889,116576,1,1
Train443,11705,101P,WASHINGTON,Train 443,0,401852,116513,1,1
Train445,11705,101P,WASHINGTON,Train 445,0,401860,116513,1,1
Train446,11705,101P,BALTIMORE,Train 446,1,401878,116576,1,1
Train447,11705,101P,WASHINGTON,Train 447,0,401853,116513,1,1
Train448,11705,101P,BALTIMORE,Train 448,1,401879,116576,1,1
Train449,11705,101P,WASHINGTON,Train 449,0,401855,116513,1,1
Train451,11705,101P,WASHINGTON,Train 451,0,401856,116513,1,1
Train452,11705,101PF,BALTIMORE,Train 452,1,401880,116576,1,1
Train453,11705,101PF,WASHINGTON,Train 453,0,401854,116513,1,1
Train454,11705,101PMT,BALTIMORE,Train 454,1,401903,116576,1,1
Train455,11705,101PMT,WASHINGTON,Train 455,0,401901,116513,1,1
Train476,11705,102,BALTIMORE,Train 476,1,401900,116576,1,1
Train478Sunday,11705,103Normal,BALTIMORE,Train 478,1,401915,116576,1,1
Train478SundayAmtrak,11705,103Amtrak,BALTIMORE,Train 478,1,401915,116576,1,1
Train480Saturday,11705,102,BALTIMORE,Train 480,1,401998,116576,1,1
Train481,11705,102,WASHINGTON,Train 481,0,401893,116513,1,1
Train482Saturday,11705,102,BALTIMORE,Train 482,1,401902,116576,1,1
Train482Sunday,11705,103,BALTIMORE,Train 482,1,406824,116576,1,1
Train485,11705,103,WASHINGTON,Train 485,0,401911,116513,1,1
Train486,11705,103Normal,BALTIMORE,Train 486,1,401917,116576,1,1
Train486Amtrak,11705,103Amtrak,BALTIMORE,Train 486,1,401917,116576,1,1
Train487Saturday,11705,102,WASHINGTON,Train 487,0,401894,116513,1,1
Train487Sunday,11705,103,WASHINGTON,Train 487,0,406816,116513,1,1
Train490Saturday,11705,102,BALTIMORE,Train 490,1,406810,116576,1,1
Train490Sunday,11705,103,BALTIMORE,Train 490,1,406820,116576,1,1
Train491Saturday,11705,102,WASHINGTON,Train 491,0,410972,116513,1,1
Train491Sunday,11705,103,WASHINGTON,Train 491,0,406815,116513,1,1
Train492,11705,102,BALTIMORE,Train 492,1,406809,116576,1,1
Train692,11705,103,MARTIN AIRPORT,Train 692,1,406822,116542,1,1
Train494,11705,102,BALTIMORE,Train 494,1,401905,116576,1,1
Train495Saturday,11705,102,WASHINGTON,Train 495,0,406798,116513,1,1
Train495Sunday,11705,103,WASHINGTON,Train 495,0,406814,116513,1,1
Train497,11705,102,WASHINGTON,Train 497,0,406797,116513,1,1
Train499,11705,102,WASHINGTON,Train 499,0,401899,116513,1,1
Train502,11705,101P,PERRYVILLE,Train 502,1,401864,116549,1,1
Train505,11705,101P,WASHINGTON,Train 505,0,401838,116504,1,1
Train511,11705,101P,WASHINGTON,Train 511,0,401840,116504,1,1
Train517,11705,101P,WASHINGTON,Train 517,0,401842,116504,1,1
Train520,11705,101P,PERRYVILLE,Train 520,1,401870,116549,1,1
Train525,11705,101P,WASHINGTON,Train 525,0,401834,116504,1,1
Train532,11705,101P,BALTIMORE AND PERRYVILLE,Train 532,1,401875,116549,1,1
Train536,11705,101P,PERRYVILLE,Train 536,1,401887,116549,1,1
Train537,11705,101P,WASHINGTON,Train 537,0,401851,116504,1,1
Train544,11705,101P,PERRYVILLE,Train 544,1,401877,116549,1,1
Train548,11705,101P,PERRYVILLE,Train 548,1,401881,116549,1,1
Train554,11705,101P,PERRYVILLE,Train 554,1,401885,116543,1,1
Train579,11705,101P,BALTIMORE,Train 579,0,401859,116499,1,1
Train610,11705,101P,BALTIMORE AND MARTIN AIR,Train 610,1,401866,116542,1,1
Train612,11705,101P,BALTIMORE AND MARTIN AIR,Train 612,1,401883,116542,1,1
Train613,11705,101P,BALTIMORE,Train 613,0,401833,116492,1,1
Train634,11705,101P,BALTIMORE AND MARTIN AIR,Train 634,1,401876,116542,1,1
Train641,11705,101P,WASHINGTON,Train 641,0,401861,116497,1,1
Train642,11705,101P,BALTIMORE AND MARTIN AIR,Train 642,1,401890,116542,1,1
Train675,11705,102,WASHINGTON,Train 675,0,401891,116497,1,1
Train677Sunday,11705,103,WASHINGTON,Train 677,0,401909,116497,1,1
Train681,11705,103,WASHINGTON,Train 681,0,406818,116497,1,1
Train685Saturday,11705,102,WASHINGTON,Train 685,0,406999,116497,1,1
Train688,11705,102,BALTIMORE AND MARTIN AIR,Train 688,1,401908,116542,1,1
Train689,11705,102,WASHINGTON,Train 689,0,406800,116497,1,1
Train694,11705,103,BALTIMORE AND MARTIN AIR,Train 694,1,401919,116542,1,1
Train696,11705,102,BALTIMORE AND MARTIN AIR,Train 696,1,406807,116542,1,1
Train698,11705,102,BALTIMORE AND MARTIN AIR,Train 698,1,401907,116542,1,1
Train840,11706,101C,BALTIMORE CAMDEN,Train 840,1,390565,116595,1,1
Train841,11706,101C,WASHINGTON,Train 841,0,390565,116582,1,1
Train842,11706,101C,BALTIMORE CAMDEN,Train 842,1,390566,116595,1,1
Train843,11706,101C,WASHINGTON,Train 843,0,390566,116586,1,1
Train844,11706,101C,BALTIMORE CAMDEN,Train 844,1,390567,116593,1,1
Train845,11706,101C,WASHINGTON,Train 845,0,390567,116585,1,1
Train846,11706,101C,BALTIMORE CAMDEN,Train 846,1,390574,116593,1,1
Train847,11706,101C,WASHINGTON,Train 847,0,390568,116584,1,1
Train848,11706,101C,DORSEY,Train 848,1,390575,116592,1,1
Train849,11706,101C,WASHINGTON,Train 849,0,390569,116583,1,1
Train850,11706,101C,BALTIMORE CAMDEN,Train 850,1,390576,116588,1,1
Train851,11706,101C,WASHINGTON,Train 851,0,390565,116582,1,1
Train852,11706,101C,BALTIMORE CAMDEN,Train 852,1,390571,116598,1,1
Train853,11706,101C,WASHINGTON,Train 853,0,390570,116581,1,1
Train854,11706,101C,BALTIMORE CAMDEN,Train 854,1,390570,116589,1,1
Train855,11706,101C,WASHINGTON,Train 855,0,390573,116580,1,1
Train856,11706,101C,BALTIMORE CAMDEN,Train 856,1,390577,116588,1,1
Train857,11706,101C,WASHINGTON,Train 857,0,390572,116579,1,1
Train858,11706,101C,BALTIMORE CAMDEN,Train 858,1,390572,116598,1,1
Train859,11706,101C,WASHINGTON,Train 859,0,390571,116579,1,1
Train860,11706,101C,BALTIMORE CAMDEN,Train 860,1,390578,116595,1,1
Train870,11704,101B,UNION STATION,Train 870,0,390467,116481,1,1
Train871,11704,104,BRUNSWICK,Train 871,1,0,116488,1,1
Train872,11704,101B,UNION STATION,Train 872,0,390465,116480,1,1
Train873,11704,101B,MARTINSBURG,Train 873,1,390474,116489,1,1
Train874,11704,101B,UNION STATION,Train 874,0,390464,116479,1,1
Train875,11704,101B,MARTINSBURG,Train 875,1,390470,116489,1,1
Train876,11704,101B,UNION STATION,Train 876,0,390461,116478,1,1
Train877,11704,101B,BRUNSWICK,Train 877,1,390472,116488,1,1
Train878,11704,101B,UNION STATION,Train 878,0,390459,116477,1,1
Train879,11704,101B,MARTINSBURG,Train 879,1,390475,116485,1,1
Train880,11704,101B,UNION STATION,Train 880,0,390462,116476,1,1
Train881,11704,101B,MARTINSBURG,Train 881,1,390476,116486,1,1
Train883,11704,101B,MARTINSBURG,Train 883,1,390468,116485,1,1
Train890,11704,101B,UNION STATION,Train 890,0,390466,116475,1,1
Train891,11704,101B,FREDERICK,Train 891,1,390473,116484,1,1
Train892,11704,101B,UNION STATION,Train 892,0,390463,116474,1,1
Train893,11704,101B,FREDERICK,Train 893,1,390471,116483,1,1
Train894,11704,101B,UNION STATION,Train 894,0,390460,116473,1,1
Train895,11704,101B,FREDERICK,Train 895,1,390469,116482,1,1
Train892R,11704,101BrunswickR,UNION STATION,Train 892,0,390463,116474,1,1
Train878R,11704,101BrunswickR,UNION STATION,Train 878,0,390459,116477,1,1
Train880R,11704,101BrunswickR,UNION STATION,Train 880,0,390462,116476,1,1
Train875R,11704,101BrunswickR,MARTINSBURG,Train 875,1,390470,116489,1,1
